RESP_FINAL;VIDEOS;CATEGORY;SCF1R;SCF1_MOY;ETHNI_USR;HAIR_LENGTHR;HAIR_THICKNESSR;HAIR_TYPER;HAIR_GREYR
2085;1;Medium;3;55;1;5;3;6;2
2255;1;Dark;3;58;2;3;3;3;1
4051;1;Medium;2;49;1;5;3;6;2
4215;1;Dark;1;26;7;3;4;3;1
4129;1;Dark;2;49;4;7;3;6;2
4008;1;Dark;1;31;1;4;4;4;2
4010;1;Dark;1;26;1;6;3;3;1
4096;1;Dark;1;27;4;6;4;3;1
4131;1;Dark;2;43;4;5;4;3;1
4007;1;Medium;3;57;1;5;4;5;3
4003;1;Light;3;56;1;4;3;3;2
4122;1;Dark;1;33;4;6;4;2;2
4089;1;Dark;1;27;4;6;4;3;1
4047;1;Dark;2;40;3;5;2;3;1
4088;1;Dark;1;29;4;7;2;6;1
4085;1;Dark;2;48;4;4;3;3;1
4048;1;Dark;1;26;3;6;3;3;1
4126;1;Dark;2;49;4;4;1;5;3
4044;1;Dark;1;36;3;5;4;3;1
4162;1;Dark;3;56;4;6;3;6;1
4083;1;Medium;3;51;7;4;4;3;2
4161;1;Medium;3;50;4;6;3;3;2
4045;1;Dark;1;36;4;4;4;4;1
4041;1;Medium;1;27;4;6;2;2;2
4095;1;Dark;2;48;4;3;3;6;1
4043;1;Medium;1;29;1;4;4;4;1
4053;1;Dark;2;49;1;7;3;6;3
4052;1;Dark;4;66;4;2;3;6;1
4004;1;Medium;1;25;1;5;3;3;1
2232;1;Dark;4;60;2;2;3;3;4
4216;1;Dark;3;51;2;6;5;2;1
4094;1;Dark;1;26;4;3;3;6;1
4128;1;Medium;2;45;4;5;3;4;2
4092;1;Dark;2;49;4;5;2;1;2
4093;1;Dark;1;28;4;7;5;4;1
4009;1;Dark;1;38;3;5;3;3;1
4050;1;Medium;3;52;1;5;2;6;2
4091;1;Dark;3;58;4;6;2;3;3
4049;1;Dark;3;58;3;2;2;3;2
4042;1;Dark;1;25;3;6;3;3;1
4127;1;Dark;4;65;4;2;3;4;2
4046;1;Medium;1;29;1;7;4;4;1
4124;1;Medium;3;56;3;7;2;4;2
4214;1;Dark;4;64;7;2;4;6;4
4121;1;Light;3;55;7;3;3;3;2
4001;1;Light;1;26;1;7;3;2;1
4081;1;Dark;3;59;7;4;4;4;2
4123;1;Dark;4;63;4;4;3;4;2
4002;1;Light;2;48;1;7;5;5;2
4090;1;Dark;1;32;4;7;3;3;1
4084;1;Dark;2;40;5;7;4;6;1
4097;1;Medium;1;25;4;6;3;3;2
4098;1;Dark;1;38;4;7;3;4;1
4011;1;Dark;2;43;3;6;4;3;1
4099;1;Medium;2;41;4;5;3;4;1
4012;1;Light;3;57;1;3;4;3;1
4006;1;Dark;1;35;1;6;4;4;1
4013;1;Light;2;41;1;5;4;3;1
4100;1;Medium;2;47;4;5;2;3;2
4101;1;Dark;3;54;3;3;3;3;3
2222;1;Medium;3;59;2;4;3;3;1
2077;1;Medium;4;60;1;3;3;6;1
2083;1;Light;4;66;1;3;3;3;5
2082;1;Dark;4;60;1;7;2;3;2
2084;1;Light;3;59;1;5;3;6;2
2088;1;Medium;2;43;1;6;3;3;1
2189;1;Dark;1;26;4;6;4;3;1
2139;1;Medium;2;49;4;6;3;3;5
2223;1;Medium;1;39;2;6;2;4;1
2142;1;Dark;2;43;4;5;3;6;1
2217;1;Dark;3;55;2;2;4;3;3
2233;1;Dark;3;59;2;3;3;3;3
2089;1;Medium;3;55;1;5;1;2;3
2148;1;Dark;2;45;4;5;3;6;2
2154;1;Dark;1;31;4;6;3;6;1
2143;1;Dark;2;43;4;4;2;3;2
2224;1;Dark;4;60;2;2;2;4;4
2159;1;Medium;2;46;4;4;1;2;1
4132;1;Dark;2;47;1;6;3;2;1
2155;1;Medium;3;59;4;3;1;3;4
2152;1;Medium;1;25;4;6;3;3;2
4015;1;Dark;1;33;1;6;3;3;1
4102;1;Dark;3;52;4;5;3;3;1
4103;1;Dark;1;34;4;5;3;3;1
2190;1;Dark;2;48;5;5;3;3;1
2187;1;Dark;1;27;4;6;3;3;1
2188;1;Medium;3;59;4;5;2;3;3
2117;1;Medium;1;25;1;5;3;3;1
4054;1;Medium;1;33;4;6;2;6;1
4163;1;Dark;2;44;3;5;2;2;2
4016;1;Dark;4;67;3;4;3;6;2
2192;1;Dark;2;42;4;4;4;4;2
2042;1;Light;4;62;1;3;3;3;6
2041;1;Dark;3;54;1;2;2;3;4
2098;1;Medium;3;53;1;4;1;2;4
2044;1;Light;3;55;1;4;4;4;3
2007;1;Dark;2;42;1;5;1;3;1
2043;1;Dark;2;46;1;5;5;2;5
2012;1;Medium;4;61;1;2;1;2;2
2094;1;Dark;1;37;1;5;3;4;2
2220;1;Dark;1;34;2;5;4;4;2
2219;1;Dark;3;54;2;5;4;3;2
2021;1;Medium;3;56;1;6;3;3;2
